"table_schema","table_name","column_name","data_type","is_nullable","column_default","character_maximum_length"
"public","availabilities","id","uuid","NO","gen_random_uuid()","null"
"public","availabilities","player_id","uuid","NO","null","null"
"public","availabilities","sports","ARRAY","NO","null","null"
"public","availabilities","locations","ARRAY","NO","null","null"
"public","availabilities","notes","text","YES","null","null"
"public","availabilities","status","text","NO","'active'::text","null"
"public","availabilities","duration","text","NO","null","null"
"public","availabilities","created_at","timestamp with time zone","YES","now()","null"
"public","availabilities","expires_at","timestamp with time zone","NO","null","null"
"public","availabilities","deleted_at","timestamp with time zone","YES","null","null"
"public","availabilities","is_public","boolean","YES","true","null"
"public","availability_groups","availability_id","uuid","NO","null","null"
"public","availability_groups","group_id","uuid","NO","null","null"
"public","availability_time_slots","id","uuid","NO","gen_random_uuid()","null"
"public","availability_time_slots","availability_id","uuid","YES","null","null"
"public","availability_time_slots","day","text","NO","null","null"
"public","availability_time_slots","start_time","text","NO","null","null"
"public","availability_time_slots","end_time","text","NO","null","null"
"public","game_groups","id","uuid","NO","uuid_generate_v4()","null"
"public","game_groups","game_id","uuid","YES","null","null"
"public","game_groups","group_id","uuid","YES","null","null"
"public","game_groups","created_at","timestamp with time zone","YES","now()","null"
"public","game_players","game_id","uuid","NO","null","null"
"public","game_players","player_id","uuid","NO","null","null"
"public","game_players","join_message","text","YES","null","null"
"public","game_players","joined_at","timestamp with time zone","YES","now()","null"
"public","game_players","is_temporary","boolean","YES","false","null"
"public","game_temporary_players","id","uuid","NO","gen_random_uuid()","null"
"public","game_temporary_players","game_id","uuid","NO","null","null"
"public","game_temporary_players","name","text","NO","null","null"
"public","game_temporary_players","phone","text","YES","null","null"
"public","game_temporary_players","gender","text","YES","null","null"
"public","game_temporary_players","category","text","YES","null","null"
"public","game_temporary_players","playing_side","text","YES","null","null"
"public","game_temporary_players","created_at","timestamp with time zone","YES","now()","null"
"public","game_temporary_players","created_by","uuid","YES","null","null"
"public","game_temporary_players","join_message","text","YES","null","null"
"public","games","id","uuid","NO","gen_random_uuid()","null"
"public","games","sport","USER-DEFINED","NO","null","null"
"public","games","date","date","NO","null","null"
"public","games","start_time","time without time zone","NO","null","null"
"public","games","end_time","time without time zone","NO","null","null"
"public","games","location_id","uuid","YES","null","null"
"public","games","max_players","smallint","NO","4","null"
"public","games","description","text","YES","null","null"
"public","games","status","USER-DEFINED","NO","'open'::game_status","null"
"public","games","gender","USER-DEFINED","NO","'mixed'::game_gender_type","null"
"public","games","created_by","uuid","NO","null","null"
"public","games","created_at","timestamp with time zone","YES","now()","null"
"public","games","updated_at","timestamp with time zone","YES","now()","null"
"public","games","deleted_at","timestamp with time zone","YES","null","null"
"public","games","required_categories","ARRAY","NO","'{}'::text[]","null"
"public","games","locations","ARRAY","NO","'{}'::text[]","null"
"public","games","is_public","boolean","YES","true","null"
"public","group_members","id","uuid","NO","uuid_generate_v4()","null"
"public","group_members","group_id","uuid","YES","null","null"
"public","group_members","user_id","uuid","NO","null","null"
"public","group_members","role","character varying","NO","'member'::character varying","null"
"public","group_members","joined_at","timestamp with time zone","YES","timezone('utc'::text, now())","null"
"public","groups","id","uuid","NO","uuid_generate_v4()","null"
"public","groups","name","character varying","NO","null","null"
"public","groups","avatar","text","YES","null","null"
"public","groups","created_by","uuid","NO","null","null"
"public","groups","created_at","timestamp with time zone","YES","timezone('utc'::text, now())","null"
"public","groups","updated_at","timestamp with time zone","YES","timezone('utc'::text, now())","null"
"public","groups","is_public","boolean","YES","false","null"
"public","groups","city","text","YES","null","null"
"public","groups","state","text","YES","null","null"
"public","locations","id","uuid","NO","gen_random_uuid()","null"
"public","locations","name","text","NO","null","null"
"public","locations","address","text","NO","null","null"
"public","locations","phone","text","YES","null","null"
"public","locations","created_at","timestamp with time zone","YES","now()","null"
"public","locations","updated_at","timestamp with time zone","YES","now()","null"
"public","locations","active","boolean","YES","true","null"
"public","locations","latitude","double precision","YES","null","null"
"public","locations","longitude","double precision","YES","null","null"
"public","notifications","id","uuid","NO","gen_random_uuid()","null"
"public","notifications","user_id","uuid","NO","null","null"
"public","notifications","type","USER-DEFINED","NO","null","null"
"public","notifications","title","text","NO","null","null"
"public","notifications","message","text","NO","null","null"
"public","notifications","game_id","uuid","YES","null","null"
"public","notifications","read","boolean","YES","false","null"
"public","notifications","created_at","timestamp with time zone","YES","now()","null"
"public","notifications","availability_id","uuid","YES","null","null"
"public","notifications","hidden","boolean","YES","false","null"
"public","profiles","id","uuid","NO","null","null"
"public","profiles","name","text","NO","null","null"
"public","profiles","phone","text","YES","null","null"
"public","profiles","cep","text","YES","null","null"
"public","profiles","padel_category","text","YES","null","null"
"public","profiles","beach_tennis_category","text","YES","null","null"
"public","profiles","playing_side","text","NO","null","null"
"public","profiles","gender","text","NO","null","null"
"public","profiles","avatar","text","YES","null","null"
"public","profiles","is_admin","boolean","YES","false","null"
"public","profiles","blocked","boolean","YES","false","null"
"public","profiles","blocked_at","timestamp with time zone","YES","null","null"
"public","profiles","created_at","timestamp with time zone","YES","now()","null"
"public","profiles","updated_at","timestamp with time zone","YES","now()","null"
"public","profiles","email","text","YES","null","null"
"public","profiles","is_temporary","boolean","YES","false","null"
"public","profiles","created_by","uuid","YES","null","null"
"public","profiles","temporary_id","uuid","YES","null","null"
"public","profiles","preferred_sports","ARRAY","YES","ARRAY['padel'::text, 'beach-tennis'::text]","null"
"public","profiles","tennis_category","character varying","YES","null","10"
"public","profiles","show_only_group_content","boolean","YES","false","null"
"public","profiles","is_deleted","boolean","YES","false","null"
"public","profiles","deleted_at","timestamp with time zone","YES","null","null"
"public","temporary_players","id","uuid","NO","gen_random_uuid()","null"
"public","temporary_players","name","text","NO","null","null"
"public","temporary_players","phone","text","YES","null","null"
"public","temporary_players","gender","text","YES","null","null"
"public","temporary_players","category","text","YES","null","null"
"public","temporary_players","playing_side","text","YES","null","null"
"public","temporary_players","created_at","timestamp with time zone","YES","now()","null"
"public","temporary_players","created_by","uuid","YES","null","null"
"public","temporary_players","game_id","uuid","YES","null","null"
